id,gender,age,lego_experience,forklift_experience,no_errors,changes_noticed,adaptability,suggestions_usefullnes,instructions_clarity,effort,uncertainty,satisfaction,usability,overall_experience,num_errors
1,Man,18.0-24,Yes,0,Yes,No,,6,8,1,No,8,7,8,0
2,Man,35.0-44,Yes,0,Yes,Not sure,,7,7,9,Yes,9,9,10,0
3,Man,25.0-34,Yes,0,Yes,Not sure,,8,7,8,Yes,10,9,9,1
4,Man,35.0-44,Yes,0,No,No,,8,7,8,No,8,8,9,3
5,Man,25.0-34,Yes,0,No,No,,10,8,8,Yes,8,10,9,0
6,Man,35.0-44,Yes,0,Yes,No,,8,9,9,No,8,8,9,2
7,Man,18.0-24,Yes,0,Yes,No,,6,8,3,No,8,8,8,0
8,Man,35.0-44,Yes,0,Yes,Yes,8,8,7,8,No,8,8,7,0
9,Man,25.0-34,Yes,0,Yes,Yes,10,10,10,10,Yes,10,10,10,0
10,Woman,25.0-34,Yes,0,Yes,Not sure,,5,8,9,No,7,8,8,0
11,Man,25.0-34,Yes,0,Yes,Not sure,,7,8,6,No,8,8,8,0
12,Man,18.0-24,Yes,0,Yes,Yes,8,9,8,7,Yes,9,8,7,0
13,Man,25.0-34,Yes,0,Yes,No,,5,9,10,No,3,5,10,0
14,Man,25.0-34,Yes,0,Yes,Not sure,,8,9,8,No,9,9,9,0
15,Man,25.0-34,Yes,0,Yes,Not sure,,10,10,10,No,10,10,10,0
16,Man,25.0-34,Yes,1.0-2,Yes,No,,5,8,10,No,6,7,7,1
17,Man,35.0-44,Yes,1.0-2,Yes,No,,7,8,10,No,7,9,6,0
18,Man,18.0-24,Yes,0,Yes,Yes,9,9,9,10,No,9,9,9,0
19,Man,18.0-24,Yes,0,No,Yes,7,7,6,8,Yes,8,7,8,1
20,Man,25.0-34,Yes,0,Yes,No,,9,10,8,No,9,10,9,0
21,Woman,18.0-24,Yes,1.0-2,Yes,Not sure,,9,9,8,No,9,7,8,0
22,Woman,25.0-34,Yes,0,Yes,No,,5,10,5,No,10,7,10,1
23,Man,25.0-34,Yes,1.0-2,Yes,Not sure,,5,7,8,Yes,7,7,7,0
24,Man,45.0+,Yes,0,No,Yes,2,5,6,6,Yes,5,9,6,0
25,Woman,45.0+,Yes,0,Yes,No,,10,6,9,No,8,9,9,0
26,Woman,25.0-34,Yes,1.0-2,Yes,No,,8,8,8,Yes,8,8,9,1
27,Man,25.0-34,Yes,0,Yes,Yes,10,10,9,10,Yes,8,10,10,0
28,Man,25.0-34,Yes,0,No,No,,5,1,10,Yes,5,10,10,2
29,Man,18.0-24,Yes,0,No,Not sure,,6,7,5,No,6,6,7,0
30,Woman,25.0-34,Yes,1.0-2,Yes,Yes,7,7,9,9,No,8,8,9,0

